,CIK,FILING_DATE,SUBMISSION_TYPE,OFFERINGAMOUNT,PROGRESSUPDATE,NATUREOFAMENDMENT,MAXIMUMOFFERINGAMOUNT,CURRENTEMPLOYEES,TOTALASSETMOSTRECENTFISCALYEAR,TOTALASSETPRIORFISCALYEAR,CASHEQUIMOSTRECENTFISCALYEAR,CASHEQUIPRIORFISCALYEAR,ACTRECEIVEDRECENTFISCALYEAR,ACTRECEIVEDPRIORFISCALYEAR,SHORTTERMDEBTMRECENTFISCALYEAR,SHORTTERMDEBTPRIORFISCALYEAR,LONGTERMDEBTRECENTFISCALYEAR,LONGTERMDEBTPRIORFISCALYEAR,NETINCOMEMOSTRECENTFISCALYEAR,NETINCOMEPRIORFISCALYEAR,Form_C_Number,Funding_Success
0,1674180,2016-05-16,C,275000.0,,,500000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1674082,2016-05-16,C,400000.0,,,1000000.0,3.0,230909.0,441532.0,193376.0,432140.0,-1097.0,0.0,589120.0,569251.0,230909.0,441532.0,-298573.0,-361237.0,0,0
2,1674632,2016-05-16,C,50000.0,,,1000000.0,10.0,5015954.0,0.0,1250.0,0.0,0.0,0.0,267070.0,0.0,0.0,0.0,-230547.0,0.0,0,0
3,1674207,2016-05-16,C,250000.0,,,1000000.0,3.0,10170.0,7321.0,10170.0,7321.0,0.0,0.0,0.0,0.0,0.0,0.0,-36772.0,-2250.0,0,0
4,1674163,2016-05-16,C,500000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,1674521,2016-05-16,C/A,100000.0,,Needed to re-upload campaign screen shots. First upload did not work.,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,1674376,2016-05-16,C,100000.0,,,1000000.0,0.0,54008.0,54129.0,2156.0,4414.0,5180.0,0.0,0.0,0.0,87504.0,74269.0,43556.0,87834.0,0,0
7,1674439,2016-05-16,C,80000.0,,,100000.0,2.0,35873.0,0.0,27303.0,0.0,0.0,0.0,10202.0,0.0,63799.0,0.0,-48127.0,0.0,0,0
8,1656615,2016-05-16,C/A,22400.0,,We are adding an attachment with the full offering terms and other details for the Form C,999880.0,6.0,26753.0,0.0,2170.0,0.0,0.0,0.0,10041.0,0.0,0.0,0.0,-8288.0,0.0,0,0
9,1674769,2016-05-16,C,200000.0,,,1000000.0,0.0,88815.0,0.0,12166.0,0.0,11250.0,0.0,10356.0,0.0,32222.0,0.0,-4763.0,0.0,0,0
10,1674521,2016-05-16,C,100000.0,,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,1674421,2016-05-16,C,300000.0,,,996000.0,0.0,738636.0,799612.0,6697.0,2432.0,23876.0,24193.0,148073.0,148170.0,464128.0,485244.0,381628.0,326093.0,0,0
12,1674489,2016-05-16,C,60000.0,,,100000.0,5.0,105693.0,11664.0,22497.07,1686.11,0.0,0.0,10118.0,2173.0,0.0,0.0,-12796.0,3716.0,0,0
13,1674213,2016-05-16,C,300000.0,,,1000000.0,8.0,161623.0,73417.0,5993.0,4900.0,0.0,0.0,35611.0,34585.0,670062.0,280643.0,-459638.0,-290958.0,0,0
14,1674249,2016-05-16,C,25000.0,,,100000.0,1.0,4551918.97,3651353.81,-3286.0,1838.28,375.0,-850.0,15211.2,-91.34,3496391.37,2735860.03,124522.43,-33698.97,0,0
15,1674421,2016-05-16,C/A,300000.0,,Our Form C PDF was rejected in our original submission and we are refiling it.,996000.0,0.0,738636.0,799612.0,6697.0,2432.0,23876.0,24193.0,148073.0,148170.0,464128.0,485244.0,381628.0,326093.0,0,0
16,1671074,2016-05-16,C,50000.0,,,1000000.0,3.0,1255.0,0.0,1255.0,0.0,0.0,0.0,0.0,0.0,1255.0,0.0,18745.0,0.0,0,0
17,1656615,2016-05-16,C,22400.0,,,999880.0,6.0,26753.0,0.0,2170.0,0.0,0.0,0.0,10041.0,0.0,0.0,0.0,-8288.0,0.0,0,0
18,1674379,2016-05-16,C,50000.0,,,100000.0,2.0,43882.04,48920.1,3007.970000000001,30688.28,0.0,0.0,36260.13,28237.35,94434.51,78342.73,-29152.62,20089.15,0,0
19,1674483,2016-05-16,C,50000.0,,,100000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20,1674380,2016-05-17,C,50000.0,,,100000.0,12.0,583711.0,246008.0,383616.0,107231.0,116862.0,57087.0,0.0,0.0,1099957.0,799957.0,-72133.0,-9560.0,0,0
21,1674430,2016-05-17,C,99999.9,,,999999.0,3.0,87772.0,0.0,86424.0,0.0,0.0,0.0,341326.0,0.0,0.0,0.0,-253544.0,0.0,0,0
22,1674382,2016-05-17,C,50000.0,,,100000.0,2.0,138159.0,48801.0,1534.0,1512.0,0.0,0.0,58778.0,64570.0,226418.0,0.0,-144819.0,-51274.0,0,0
23,1656615,2016-05-17,C/A,22400.0,,We are adding an attachment with the full offering terms and other details for the Form C,999880.0,6.0,26753.0,0.0,2170.0,0.0,0.0,0.0,10041.0,0.0,0.0,0.0,-8288.0,0.0,0,0
24,1674630,2016-05-17,C,100000.0,,,,4.0,357539.48,-83023.13,0.0,0.0,0.0,0.0,155727.0,31410.0,0.0,0.0,-401680.5,-105268.13,0,0
25,1674387,2016-05-17,C,50000.0,,,100000.0,6.0,843125.0,0.0,70337.0,0.0,0.0,0.0,70000.0,0.0,175000.0,0.0,-174663.0,0.0,0,0
26,1674385,2016-05-17,C,50000.0,,,100000.0,5.0,129599.0,82367.0,9997.0,27942.0,22702.0,10330.0,51400.0,17263.0,252063.0,163560.0,-94908.0,-68563.0,0,0
27,1674531,2016-05-17,C,50000.0,,,1000000.0,5.0,37516.0,48983.0,0.0,255.0,0.0,0.0,26813.0,32416.0,0.0,0.0,0.0,0.0,0,0
28,1641104,2016-05-17,C,20000.0,,,100000.0,3.0,127803.0,0.0,0.0,0.0,0.0,0.0,127562.0,0.0,7065.0,0.0,-129663.0,0.0,0,0
29,1674319,2016-05-17,C,50000.0,,,100000.0,8.0,559684.0,0.0,392970.0,0.0,1401.0,0.0,231.0,0.0,559684.0,0.0,-57247.0,0.0,0,0
30,1674381,2016-05-17,C,25000.0,,,100000.0,4.0,342658.0,446980.0,105271.0,213039.0,0.0,0.0,58872.0,79205.0,577657.0,491548.0,-184589.0,-214102.0,0,0
31,1674386,2016-05-18,C,50000.0,,,1000000.0,4.0,335856.0,0.0,132659.0,0.0,0.0,0.0,11597.0,0.0,0.0,0.0,-111841.0,0.0,0,0
32,1674525,2016-05-18,C,25000.0,,,1000000.0,7.0,86780.0,8606.0,31076.0,5866.0,0.0,0.0,0.0,5866.0,131.0,0.0,-120410.0,-6394.0,0,0
33,1674671,2016-05-19,C,50000.0,,,100000.0,1.0,8100.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,-28057.0,0.0,0,0
