ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-16-000129	0		Updated Business Plan is included.	RockmaniaLive, INC	Corporation		CA	2015-01-29	3112 HUTTON DR.		BEVERLY HILLS	CA	90210	http://rockmanialive.com	StartEngine Capital LLC	0001665160	007-00007	
0001684715-16-000001	0			Sugar Refinery, LLC	Limited Liability Company		TX	2016-08-18	2248 TEXAS DRIVE		SUGAR LAND	TX	77479	http://www.thesugarrefinerybar.com/	NextSeed US LLC	0001667892	007-00023	283225
0001679413-16-000001	1		Issuer has amended its offering page to reflect a new product that the Issuer is now offering.	Lifeblink Inc	Corporation		DE	2016-04-20	8 OLD SALEM ROAD		CHERRY HILL	NJ	08034	www.lifeblink.com	FLASHFUNDERS SECURITIES, LLC	0001320303	008-66859	000134742
0001685706-16-000003	0		This amendment is to fix a simple error: the Issuer was formed in Delaware, not California.	Two A&H Entertainment, LLC	Limited Liability Company		DE	2016-02-17	545 POST STREET		SAN FRANCISCO	CA	94102	http://www.ramblersf.com/	NextSeed US LLC	0001667892	007-00023	283225
0001685706-16-000001	0			Two A&H Entertainment, LLC	Limited Liability Company		CA	2016-02-17	545 POST STREET		SAN FRANCISCO	CA	94102	http://www.ramblersf.com/	NextSeed US LLC	0001667892	007-00023	283225
0001683142-16-000001	0			WORDEGO INC	Corporation		DE	2016-02-17	222 W MERCHANDISE MART PLAZA SUITE 1212		CHICAGO	IL	60654	WWW.WORDEGO.COM	TRUCROWD INC	0001667145	007-00015	
0001665160-16-000128	0		Extending the offering deadline and adjusting the perks.	LRF Thoroughbred Fund LLC	Limited Liability Company		CA	2016-06-27	5950 CANOGA AVE SUITE 510		WOODLAND HILLS	CA	91367	www.littleredfeather.com	StartEngine Capital LLC	0001665160	007-00007	
0001680454-16-000004	0		Issuer has adjusted offering page to more prominently display previously filed key risks and assumptions.	Swaggle Inc.	Corporation		DE	2014-09-16	2006 17TH STREET NW		WASHINGTON	DC	20009	http://goswaggle.com/	FLASHFUNDERS SECURITIES, LLC	0001320303	008-66859	000134742
0001670254-16-000139	1		Extended deadline date to December 1st.	Red Bay Coffee Company	Limited Liability Company		CA	2013-08-09	3098 E. 10th Street		oakland	CA	94606	http://www.redbaycoffee.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001682864-16-000006	0			Lion International Consulting, Inc.	Corporation		FL	2016-08-11	1035 SOUTH STATE RD 7	SUITE 315-9	WELLINGTON	FL	33414	www.lioninco.com	UFP, LLC	0001668380	007-00024	
