ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001665160-17-000251	5 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	1000000.0	2017-09-28	11	1937	2219	947	2219	0	0	0	0	74485	8697	0	0	635732	276138	0	0	-636241	-276138
0001665160-17-000246	5 percent	N/A	Other	Simple Agreement for Future Equity (SAFE)	600	250.0	N/A	150000.0	Y	Other	At issuer's discretion to the updated amount of $1,070,000.	1000000.0	2017-07-14	27	1986121	1197438	621396	95059	126413	114961	918818	246407	517823	609708	6227791	2569177	2338992	1366087	203198	89974	-17366	-309497
0001708142-17-000002	7.0%	The intermediary will receive a ten (10) year warrant to purchase a number of shares of Series Seed Preferred Stock of the issuer that is equal to 2% (two percent) of the total number of shares sold by the issuer in the Offering.	Preferred Stock		7694	6.5		50011.0	Y	Other	At company's discretion	400008.0	2017-08-22	3	131980	68035	3380	1776.76	7699	0	0	0	0	0	51535	420	39525	0	0	0	-25868	-26319
0001665160-17-000245	5 percent	N/A	Common Stock		8000	1.25	N/A	10000.0	Y	Other	At issuer's discretion	1000000.0	2017-08-31	10	56071	187790	33334	159809	2217	5298	149000	0	0	0	24792	14374	0	0	0	0	-554644	-317745
0001665160-17-000244	6 percent	N/A	Common Stock		5000	2.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-07-07	1	0	0	0	0	0	0	7302.29	0	0	0	0	0	0	0	0	0	-7302.29	-31000
0001665160-17-000243	5 percent	N/A	Common Stock		5882	1.7	N/A	9999.4	Y	Other	At issuer's discretion to updated threshold of $1,069,999.00	999999.5	2017-07-07	1	696610	411424	160	334008	267886	0	124553	25547	300000	0	828381	341108	716090	162777	0	0	-548100	-65902
0001665160-17-000242	5 percent	N/A	Common Stock		6666	1.5	N/A	9999.0	Y	Other	At issuer's discretion	99999.0	2017-08-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-17-000241	6 percent	N/A	Common Stock		47619	0.21	N/A	9999.99	Y	Other	At issuer's discretion	99999.90000000001	2017-07-12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8949	0
0001665160-17-000240	5 percent	N/A	Common Stock		7142	7.0	N/A	49994.0	Y	Other	At issuer's discretion	1000000.0	2017-09-19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-17-000239	6 percent	N/A	Common Stock		400	25.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-07-27	2	13414	13214	13414	13214	0	0	3800	3600	0	0	0	0	0	0	0	0	-36890	-31107
0001665160-17-000238	6 percent	N/A	Other	Simple Agreement for Future Equity (SAFE)	5000	2.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-08-18	6	31972	11174	532	1770	0	0	0	0	44451	11342	0	0	0	142	489	25	-23311	-5968
0001665160-17-000237	6 percent	N/A	Other	Simple Agreement for Future Equity (SAFE)	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-08-31	3	71147.15000000001	75180.42	24881.65	30210.420000000002	0	0	1841.71	14498.15	431038.83	342567.24	117920.79000000001	87645.18000000001	62853.94	53142.71	0	0	-330953.07	-281711.56
0001665160-17-000236	5 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-08-31	4	313913	0	311224	0	0	0	29926	0	134044	0	0	0	0	0	0	0	-114473	0
