ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001691877-17-000004	43	SD
0001691877-17-000004	42	SC
0001691877-17-000004	45	TX
0001691877-17-000004	46	UT
0001691877-17-000004	47	VT
0001691877-17-000004	48	VA
0001691877-17-000004	49	WA
0001691877-17-000004	50	WV
0001691877-17-000004	51	WI
0001691877-17-000004	52	WY
0001691877-17-000004	53	A0
0001691877-17-000004	54	A1
0001691877-17-000004	55	A2
0001691877-17-000004	56	A3
0001691877-17-000004	57	A4
0001691877-17-000004	58	A5
0001691877-17-000004	59	A6
0001691877-17-000004	60	A7
0001691877-17-000004	61	A8
0001691877-17-000004	62	A9
0001691877-17-000004	63	B0
0001691877-17-000004	64	Z4
0001691877-17-000004	1	AL
0001691877-17-000004	2	AK
0001691877-17-000004	3	AZ
0001691877-17-000004	4	AR
0001691877-17-000004	5	CA
0001691877-17-000004	6	CO
0001691877-17-000004	7	CT
0001691877-17-000004	8	DE
0001691877-17-000004	9	DC
0001691877-17-000004	10	FL
0001691877-17-000004	11	GA
0001691877-17-000004	12	HI
0001691877-17-000004	13	ID
0001691877-17-000004	14	IL
0001691877-17-000004	15	IN
0001691877-17-000004	16	IA
0001691877-17-000004	17	KS
0001691877-17-000004	18	KY
0001691877-17-000004	19	LA
0001691877-17-000004	20	ME
0001691877-17-000004	21	MD
0001691877-17-000004	22	MA
0001691877-17-000004	23	MI
0001691877-17-000004	24	MN
0001691877-17-000004	25	MS
0001691877-17-000004	26	MO
0001691877-17-000004	27	MT
0001691877-17-000004	28	NE
0001691877-17-000004	29	NV
0001691877-17-000004	30	NH
0001691877-17-000004	31	NJ
0001691877-17-000004	32	NM
0001691877-17-000004	33	NY
0001691877-17-000004	34	NC
0001691877-17-000004	35	ND
0001691877-17-000004	36	OH
0001691877-17-000004	37	OK
0001691877-17-000004	38	OR
0001691877-17-000004	39	PA
0001691877-17-000004	40	PR
0001691877-17-000004	41	RI
0001691877-17-000004	44	TN
0001710332-17-000003	36	ND
0001710332-17-000003	35	NC
0001710332-17-000003	38	OK
0001710332-17-000003	39	OR
0001710332-17-000003	40	PA
0001710332-17-000003	41	PR
0001710332-17-000003	42	RI
0001710332-17-000003	43	SC
0001710332-17-000003	44	SD
0001710332-17-000003	1	AL
0001710332-17-000003	2	AK
0001710332-17-000003	3	AZ
0001710332-17-000003	4	AR
0001710332-17-000003	5	CA
0001710332-17-000003	6	CO
0001710332-17-000003	7	CT
0001710332-17-000003	8	DE
0001710332-17-000003	9	DC
0001710332-17-000003	10	FL
0001710332-17-000003	11	GA
0001710332-17-000003	12	GU
0001710332-17-000003	13	HI
0001710332-17-000003	14	ID
0001710332-17-000003	15	IL
0001710332-17-000003	16	IN
0001710332-17-000003	17	IA
0001710332-17-000003	18	KS
0001710332-17-000003	19	KY
0001710332-17-000003	20	LA
0001710332-17-000003	21	ME
0001710332-17-000003	22	MD
0001710332-17-000003	23	MA
0001710332-17-000003	45	TN
0001710332-17-000003	46	TX
0001710332-17-000003	47	UT
0001710332-17-000003	48	VT
0001710332-17-000003	49	VI
0001710332-17-000003	50	VA
0001710332-17-000003	51	WA
0001710332-17-000003	52	WV
0001710332-17-000003	53	WI
0001710332-17-000003	54	WY
0001710332-17-000003	55	B5
0001710332-17-000003	56	1V
0001710332-17-000003	24	MI
0001710332-17-000003	25	MN
0001710332-17-000003	26	MS
0001710332-17-000003	27	MO
0001710332-17-000003	28	MT
0001710332-17-000003	29	NE
0001710332-17-000003	30	NV
0001710332-17-000003	31	NH
0001710332-17-000003	32	NJ
0001710332-17-000003	33	NM
0001710332-17-000003	34	NY
0001710332-17-000003	37	OH
0001665160-17-000451	39	PA
0001665160-17-000451	40	PR
0001665160-17-000451	41	RI
0001665160-17-000451	42	SC
0001665160-17-000451	43	SD
0001665160-17-000451	44	TN
0001665160-17-000451	45	TX
0001665160-17-000451	46	UT
0001665160-17-000451	47	VT
0001665160-17-000451	48	VA
0001665160-17-000451	49	WA
0001665160-17-000451	50	WV
0001665160-17-000451	51	WI
0001665160-17-000451	52	WY
0001665160-17-000451	21	MD
0001665160-17-000451	22	MA
0001665160-17-000451	23	MI
0001665160-17-000451	24	MN
0001665160-17-000451	25	MS
0001665160-17-000451	26	MO
0001665160-17-000451	27	MT
0001665160-17-000451	28	NE
0001665160-17-000451	29	NV
0001665160-17-000451	30	NH
0001670254-17-000268	32	NM
0001670254-17-000268	33	NY
0001670254-17-000268	1	AL
0001670254-17-000268	2	AK
0001670254-17-000268	3	AZ
0001670254-17-000268	4	AR
0001670254-17-000268	5	CA
0001670254-17-000268	6	CO
0001670254-17-000268	7	CT
0001670254-17-000268	8	DE
0001670254-17-000268	9	DC
0001670254-17-000268	10	FL
0001670254-17-000268	11	GA
0001670254-17-000268	12	HI
0001670254-17-000268	13	ID
0001670254-17-000268	14	IL
0001670254-17-000268	15	IN
0001670254-17-000268	16	IA
0001670254-17-000268	17	KS
0001670254-17-000268	18	KY
0001670254-17-000268	48	WA
0001670254-17-000268	49	WV
0001670254-17-000268	50	WI
0001670254-17-000268	51	WY
0001670254-17-000268	52	B5
0001670254-17-000268	53	GU
0001670254-17-000268	54	PR
0001670254-17-000268	55	VI
0001670254-17-000268	56	1V
0001670254-17-000268	19	LA
0001670254-17-000268	20	ME
0001670254-17-000268	21	MD
0001670254-17-000268	22	MA
0001670254-17-000268	23	MI
0001670254-17-000268	24	MN
0001670254-17-000268	25	MS
0001665160-17-000451	31	NJ
0001665160-17-000451	32	NM
0001665160-17-000451	33	NY
0001665160-17-000451	34	NC
0001665160-17-000451	1	AL
0001665160-17-000451	2	AK
0001665160-17-000451	3	AZ
0001665160-17-000451	4	AR
0001665160-17-000451	5	CA
0001665160-17-000451	6	CO
0001665160-17-000451	7	CT
0001665160-17-000451	8	DC
0001665160-17-000451	9	DE
0001665160-17-000451	10	FL
0001665160-17-000451	11	GA
0001665160-17-000451	12	HI
0001665160-17-000451	13	ID
0001665160-17-000451	14	IL
0001665160-17-000451	15	IN
0001665160-17-000451	16	IA
0001665160-17-000451	17	KS
0001665160-17-000451	18	KY
0001665160-17-000451	19	LA
0001665160-17-000451	20	ME
0001665160-17-000451	35	ND
0001665160-17-000451	36	OH
0001665160-17-000451	37	OK
0001665160-17-000451	38	OR
0001670254-17-000268	45	UT
0001670254-17-000268	46	VT
0001670254-17-000268	47	VA
0001670254-17-000268	34	NC
0001670254-17-000268	35	ND
0001670254-17-000268	36	OH
0001670254-17-000268	37	OK
0001670254-17-000268	38	OR
0001670254-17-000268	39	PA
0001670254-17-000268	40	RI
0001670254-17-000268	41	SC
0001670254-17-000268	42	SD
0001670254-17-000268	43	TN
0001670254-17-000268	44	TX
0001670254-17-000268	26	MO
0001670254-17-000268	27	MT
0001670254-17-000268	28	NE
0001670254-17-000268	29	NV
0001670254-17-000268	30	NH
0001670254-17-000268	31	NJ
0001665160-17-000454	5	CA
0001665160-17-000454	6	CO
0001665160-17-000454	7	CT
0001665160-17-000454	8	DC
0001665160-17-000454	9	DE
0001665160-17-000454	10	FL
0001665160-17-000454	11	GA
0001665160-17-000454	12	HI
0001665160-17-000454	13	ID
0001665160-17-000454	14	IL
0001665160-17-000454	15	IN
0001665160-17-000454	16	IA
0001665160-17-000454	17	KS
0001665160-17-000454	18	KY
0001665160-17-000454	19	LA
0001665160-17-000454	20	ME
0001665160-17-000454	21	MD
0001665160-17-000454	22	MA
0001665160-17-000454	23	MI
0001665160-17-000454	24	MN
0001665160-17-000454	25	MS
0001665160-17-000454	26	MO
0001665160-17-000454	27	MT
0001665160-17-000454	28	NE
0001665160-17-000454	29	NV
0001665160-17-000454	30	NH
0001665160-17-000454	31	NJ
0001665160-17-000454	32	NM
0001665160-17-000454	33	NY
0001665160-17-000454	34	NC
0001665160-17-000454	35	ND
0001665160-17-000454	36	OH
0001665160-17-000454	37	OK
0001665160-17-000454	38	OR
0001665160-17-000454	39	PA
0001665160-17-000454	40	PR
0001665160-17-000454	41	RI
0001665160-17-000454	42	SC
0001665160-17-000454	43	SD
0001665160-17-000454	44	TN
0001665160-17-000454	45	TX
0001665160-17-000454	46	UT
0001665160-17-000454	47	VT
0001665160-17-000454	48	VA
0001665160-17-000454	49	WA
0001665160-17-000454	50	WV
0001665160-17-000454	51	WI
0001665160-17-000454	52	WY
0001665160-17-000454	1	AL
0001665160-17-000454	2	AK
0001665160-17-000454	3	AZ
0001665160-17-000454	4	AR
0001665160-17-000446	2	AK
0001665160-17-000446	1	AL
0001665160-17-000446	4	AR
0001665160-17-000446	5	CA
0001665160-17-000446	6	CO
0001665160-17-000446	7	CT
0001665160-17-000446	8	DC
0001665160-17-000446	9	DE
0001665160-17-000446	10	FL
0001665160-17-000446	11	GA
0001665160-17-000446	12	HI
0001665160-17-000446	13	ID
0001665160-17-000446	14	IL
0001665160-17-000446	15	IN
0001665160-17-000446	16	IA
0001665160-17-000446	17	KS
0001665160-17-000446	18	KY
0001665160-17-000446	19	LA
0001665160-17-000446	20	ME
0001665160-17-000446	21	MD
0001665160-17-000446	22	MA
0001665160-17-000446	23	MI
0001665160-17-000446	24	MN
0001665160-17-000446	25	MS
0001665160-17-000446	26	MO
0001665160-17-000446	27	MT
0001665160-17-000446	28	NE
0001665160-17-000446	29	NV
0001665160-17-000446	30	NH
0001665160-17-000446	31	NJ
0001665160-17-000446	32	NM
0001665160-17-000446	33	NY
0001665160-17-000446	34	NC
0001665160-17-000446	35	ND
0001665160-17-000446	36	OH
0001665160-17-000446	37	OK
0001665160-17-000446	38	OR
0001665160-17-000446	39	PA
0001665160-17-000446	40	PR
0001665160-17-000446	41	RI
0001665160-17-000446	42	SC
0001665160-17-000446	43	SD
0001665160-17-000446	44	TN
0001665160-17-000446	45	TX
0001665160-17-000446	46	UT
0001665160-17-000446	47	VT
0001665160-17-000446	48	VA
0001665160-17-000446	49	WA
0001665160-17-000446	50	WV
0001665160-17-000446	51	WI
0001665160-17-000446	52	WY
0001665160-17-000446	3	AZ
0001665160-17-000444	3	AZ
0001665160-17-000444	4	AR
0001665160-17-000444	5	CA
0001665160-17-000444	6	CO
0001665160-17-000444	7	CT
0001665160-17-000444	8	DC
0001665160-17-000444	9	DE
0001665160-17-000444	10	FL
0001665160-17-000444	11	GA
0001665160-17-000444	12	HI
0001665160-17-000444	13	ID
0001665160-17-000444	14	IL
0001665160-17-000444	15	IN
0001665160-17-000444	16	IA
0001665160-17-000444	17	KS
0001665160-17-000444	18	KY
0001665160-17-000444	19	LA
0001665160-17-000444	20	ME
0001665160-17-000444	21	MD
0001665160-17-000444	22	MA
0001665160-17-000444	23	MI
0001665160-17-000444	24	MN
0001665160-17-000444	25	MS
0001665160-17-000444	26	MO
0001665160-17-000444	27	MT
0001665160-17-000444	28	NE
0001665160-17-000444	29	NV
0001665160-17-000444	30	NH
0001665160-17-000444	31	NJ
0001665160-17-000444	32	NM
0001665160-17-000444	33	NY
0001665160-17-000444	34	NC
0001665160-17-000444	35	ND
0001665160-17-000444	36	OH
0001665160-17-000444	37	OK
0001665160-17-000444	38	OR
0001665160-17-000444	39	PA
0001665160-17-000444	40	PR
0001665160-17-000444	41	RI
0001665160-17-000444	42	SC
0001665160-17-000444	43	SD
0001665160-17-000444	44	TN
0001665160-17-000444	45	TX
0001665160-17-000444	46	UT
0001665160-17-000444	47	VT
0001665160-17-000444	48	VA
0001665160-17-000444	49	WA
0001665160-17-000444	50	WV
0001665160-17-000444	51	WI
0001665160-17-000444	52	WY
0001665160-17-000444	1	AL
0001665160-17-000444	2	AK
0001665160-17-000441	26	MO
0001665160-17-000441	27	MT
0001665160-17-000441	28	NE
0001665160-17-000441	29	NV
0001665160-17-000441	30	NH
0001665160-17-000441	31	NJ
0001665160-17-000441	32	NM
0001665160-17-000441	33	NY
0001670254-17-000266	11	GA
0001670254-17-000266	12	HI
0001670254-17-000266	13	ID
0001670254-17-000266	14	IL
0001670254-17-000266	15	IN
0001670254-17-000266	16	IA
0001670254-17-000266	17	KS
0001670254-17-000266	18	KY
0001670254-17-000266	19	LA
0001670254-17-000266	20	ME
0001670254-17-000266	21	MD
0001670254-17-000266	22	MA
0001670254-17-000266	23	MI
0001670254-17-000266	24	MN
0001670254-17-000266	25	MS
0001670254-17-000266	26	MO
0001670254-17-000266	27	MT
0001670254-17-000266	28	NE
0001670254-17-000266	29	NV
0001670254-17-000266	30	NH
0001670254-17-000266	31	NJ
0001670254-17-000266	32	NM
0001670254-17-000266	33	NY
0001670254-17-000266	34	NC
0001665160-17-000441	34	NC
0001665160-17-000441	35	ND
0001665160-17-000441	36	OH
0001665160-17-000441	37	OK
0001665160-17-000441	38	OR
0001665160-17-000441	39	PA
0001665160-17-000441	40	PR
0001665160-17-000441	41	RI
0001665160-17-000441	42	SC
0001665160-17-000441	43	SD
0001665160-17-000441	44	TN
0001665160-17-000441	45	TX
0001670254-17-000266	35	ND
0001670254-17-000266	36	OH
0001670254-17-000266	37	OK
0001670254-17-000266	38	OR
0001670254-17-000266	39	PA
0001670254-17-000266	40	RI
0001670254-17-000266	41	SC
0001670254-17-000266	42	SD
0001670254-17-000266	43	TN
0001670254-17-000266	44	TX
0001670254-17-000266	45	UT
0001670254-17-000266	46	VT
0001670254-17-000266	47	VA
