ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001746059-19-000039	1	Keegan Kreations LLC	Thim Yee	Owner and Founder
0001665160-19-000965	1	KEXY, LLC	Scott Graham	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001782650-19-000004	1	CE Communitas, LLC	Craig Cozza	Owner
0001782111-19-000002	1	Glo Cleveland, Inc.	Shelly Gracon	Owner
0001669191-19-000346	1	Dome Audio Inc.	Benjamin White	Principal Executive Officer
0001669191-19-000342	1	THB Holdco, LLC	Christopher Darnell	Principal Executive Officer
0001785176-19-000001	1	Layali LLC	Sumaya Lakis	CEO
0001669191-19-000344	1	Kings Crowd LLC	Christopher Lustrino	Principal Executive Officer
0001788853-19-000001	1	Camino Kombucha Co.	Nohra Murad	Owner
0001785964-19-000002	1	BUSHL Inc	Joshua Bareket	Principal executive officer, principal financial officer, principal accounting officer
0001496634-19-000003	1	Private Health Management, Inc.	Leslie D. Michelson	Principal Executive Officer & Board Member
0001783128-19-000001	1	EPILOG IMAGING SYSTEMS INC.	Michael Mojaver	CEO
0001668287-19-000056	1	Elastico Tequila Grille Co	Dano Veal	Owner
0001728664-19-000007	1	Orthogonal Thinker Inc.	David Nikzad	CEO
0001668287-19-000053	1	The OmniPad Company, LLC	Neil Epstein	Owner
0001774041-19-000004	1	JUMPSTART INSURANCE SOLUTIONS, INC.	Katherine Stillwell	CEO and Director
0001670254-19-000550	1	Participant Assistive Products	Keoke King	CEO, President, Co-Founder
0001789467-19-000001	1	Inner City Opportunity Zone LLC	Joshua Griggs	Managing Member
0001665160-19-000960	1	ChalkBites, Inc.	Steve Grubbs	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001765252-19-000005	1	QWIKLEAF LLC	Neil Biafore	CEO
0001778950-19-000003	1	SHOWDEO, INC	Jason Henderson	President & CEO
0001670254-19-000547	1	TurboPass Corporation	Michael Jarman	Co-Founder/CEO
0001746059-19-000038	1	CAS Confectionery LLC	Claudia Strobing	Owner and Founder
0001781842-19-000002	1	Lenmo Inc.	Mark Maurice Nasry	Principal executive officer, principal financial officer, controller
0001746059-19-000037	1	New Haven Community Solar, LLC	Franz Hochstrasser	CEO, Manager, and Co-Founder
0001785538-19-000002	1	Brian Giniewski LLC	Brian Giniewski	Owner
0001781842-19-000001	1	Lenmo Inc.	Mark Maurice Nasry	Principal executive officer, principal financial officer, controller
0001668287-19-000051	1	Zamii Clean USA Carpet and Upholstery Cleaning Corp.	Dale Galbraith	Owner
0001788935-19-000001	1	Green Valley Affiliates, Inc.	David Schacter	CEO / Founder
