accession_number	seq	description	document	type
0001665160-19-001270	1		primary_doc.xml	C
0001665160-19-001270	2		offeringmemoformc.pdf	EX-99
0001759332-19-000003	1		primary_doc.xml	C
0001759332-19-000003	2	BY LAWS	bylawspersonainc.pdf	EX-99
0001759332-19-000003	3	OFFERING MEMO	offeringmemopersona.pdf	EX-99
0001759332-19-000003	4	BUSINESS PLAN	personabusinessplan.pdf	EX-99
0001759332-19-000003	5	LINKEDIN PROFILES	linkedinprofiles.jpg	GRAPHIC
0001759332-19-000003	6	CERTIFICATE OF INCORPORATION	certificateofincorporation.jpg	GRAPHIC
0001759332-19-000003	7	STOCK AGREEMENT	equitystockagreement.jpg	GRAPHIC
0001759332-19-000003	8	2017 AND 2018 FINANCIALS	2017and18financials.jpg	GRAPHIC
0001759332-19-000003	9	OFFERING PAGE DRAFT	campaignpage.pdf	EX-99
0001666102-20-000001	1		primary_doc.xml	C/A
0001666102-20-000001	2	FORM C - OFFERING STATEMENT	FormC_20191231.pdf	EX-99
0001666102-20-000002	1		primary_doc.xml	C/A
0001666102-20-000002	2	FORM C - OFFERING STATEMENT	FormC_20191229.pdf	EX-99
0001665160-20-000001	1		primary_doc.xml	C/A
0001793460-20-000001	1		primary_doc.xml	C/A
0001793460-20-000001	2		document_a1.pdf	EX-99
0001793460-20-000001	3		document_b.pdf	EX-99
0001793460-20-000001	4		document_c.pdf	EX-99
0001793460-20-000001	5		document_d.pdf	EX-99
0001793460-20-000001	6		document_e1.pdf	EX-99
0001793460-20-000001	7		document_f.pdf	EX-99
0001793460-20-000001	8		document_g.pdf	EX-99
0001793460-20-000001	9		document_h.pdf	EX-99
0001793460-20-000001	10		document_formc.pdf	EX-99
0001784144-20-000001	1		primary_doc.xml	C-U
0001793460-20-000002	1		primary_doc.xml	C/A
0001793460-20-000002	2		document_formc1.pdf	EX-99
0001793460-20-000002	3		document_a1.pdf	EX-99
0001793460-20-000002	4		document_b.pdf	EX-99
0001793460-20-000002	5		document_c.pdf	EX-99
0001793460-20-000002	6		document_d.pdf	EX-99
0001793460-20-000002	7		document_e1.pdf	EX-99
0001793460-20-000002	8		document_f.pdf	EX-99
0001793460-20-000002	9		document_g.pdf	EX-99
0001793460-20-000002	10		document_h.pdf	EX-99
0001784144-20-000002	1		primary_doc.xml	C-U
0001659586-20-000001	1		primary_doc.xml	C-U
0001665160-20-000004	1		primary_doc.xml	C/A
0001665160-20-000004	2		offeringmemoformc.pdf	EX-99
0001782749-20-000001	1		primary_doc.xml	C-U
0001780452-20-000001	1		primary_doc.xml	C/A
0001780452-20-000001	2	OFFERING STATEMENT	bitiosfnla2.pdf	EX-99
0001780452-20-000001	3	EXHIBIT B	biticpafnl.pdf	EX-99
0001780452-20-000001	4	EXHIBIT C	biticarllcfnl.pdf	EX-99
0001665160-20-000007	1		primary_doc.xml	C
0001665160-20-000007	2		offeringmemoformc.pdf	EX-99
0001665160-20-000008	1		primary_doc.xml	C/A
0001665160-20-000009	1		primary_doc.xml	C/A
0001777274-20-000001	1		primary_doc.xml	C
0001777274-20-000001	2	FORM C	formc.pdf	EX-99
0001665160-20-000010	1		primary_doc.xml	C/A
0001665160-20-000011	1		primary_doc.xml	C/A
0001669191-20-000004	1		primary_doc.xml	C/A
0001669191-20-000004	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000004	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000004	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000004	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
