accession_number	id	issuer	issuerSignature	issuerTitle
0001665160-19-001270	5003856	Geoship SPC	Morgan Bierschenk	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer of Geoship SPC
0001759332-19-000003	5003874	Persona Network, Inc.	Colby Schaeffer	CFO
0001666102-20-000001	5003875	Social5, LLC	Judson Smedley	Chief Financial Officer
0001666102-20-000002	5003876	Armored Citizen, LLC.	Aaron K Gilbert	President & CEO
0001665160-20-000001	5003877	Boku International Inc	Lynn Rolle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001793460-20-000001	5003878	SongVest Records Inc.	Sean Peace	CEO
0001784144-20-000001	5003879	Nanno, Inc.	Elisabeth P. Oertle	CEO/Co-Founder
0001793460-20-000002	5003857	SongVest Records Inc.	Sean Peace	CEO
0001784144-20-000002	5003880	WeLivv Inc.	Andrew Christodoulides	Chief Executive Officer
0001659586-20-000001	5003858	Citiesense Inc.	Starling Childs	Chief Executive Officer, Director
0001665160-20-000004	5003881	Divinia Water, INC.	Steven R Sedlmayr	CEO, Principal Executive Officer and Director and Principal Financial Officer
0001782749-20-000001	5003882	Tallyfy, Inc.	/s/Amit Kothari	Director, CEO, President, Secretary
0001780452-20-000001	5003860	Globocoin 1, LLC	Tobias Maldonado	Owner
0001665160-20-000007	5003859	LiquidPiston, Inc.	Alexander Shkolnik	President and CEO, Principal Executive Officer, Principal Financial Officer,  Principal Accounting Officer, and Director
0001665160-20-000008	5003861	81-c, Inc.	Dan Abbate	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000009	5003862	Fisher Wallace Laboratories, Inc.	Kelly Roman	CEO, Principal Executive Officer and Director
0001777274-20-000001	5003883	Oracle Health Inc.	Jaeson Bang	CEO, Founder
0001665160-20-000010	5003884	Locking Line Barriers Corp	Joseph Daniluk	CEO, Principal Executive Officer and Director, Principal Financial Officer, Secretary, and Principal Accounting Officer
0001665160-20-000011	5003863	WebTez Inc.	Peter J. Tezza II	CEO, Principal Executive Officer and Director
0001669191-20-000004	5003886	Neurotez Inc.	Nikolaos Tezapsidis	Principal Executive Officer
0001665160-20-000013	5003885	Tall Idea Labs, Inc.	Andy Pandharikar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-20-000002	5003904	StemSation International, Inc	Ray C.  Carter, Jr.	Principal Executive Officer
0001797667-20-000001	5003905	Degrees Plato LLC	Richard Allen	Co-Owner
0001666102-20-000003	5003887	Coinseed, Inc.	Sukhbat Lkhagvadorj	Founder, CFO
0001665160-20-000014	5003888	Lettuce Networks, Inc.	Yogesh Sharma	CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000015	5003906	Keezel, Inc.	Friso Schmid	CFO, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000016	5003889	Eclipse Diagnostics Inc	Luka Fajs	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000018	5003890	Phormed Inc	McCoy Moretz	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-20-000001	5003891	Kookoonelli, Inc.	Nassy Mornaghi	Owner and Founder
0001791279-20-000001	5003892	Hen Fruit LLC	Jacqueline Schoedel	Co-Owner
0001791279-20-000002	5003907	Creative Coffee & Supply LLC	Carmen Swasey	Owner
0001746059-20-000002	5003893	Peak Performance Nutrition LLC	Adam Davis	Owner and Founder
0001791279-20-000003	5003894	Rolling Pepperoni LLC	Katherine Schuler	Owner
0001746059-20-000003	5003908	Lucky Goat Brewing LLC	Kendall Peabody	Owner and CoFounder
0001783004-20-000001	5003897	SkyHi Travel, Inc.	/s/ Rama Poola	CEO
0001665160-20-000020	5003896	Dermal Photonics Corporation	David Bean	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001766521-20-000001	5003895	SleepChoices LLC	/s/Philip Shen	Chief Executive Officer
0001665160-20-000023	5003898	Dermal Photonics Corporation	David Bean	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001716822-20-000001	5003909	70 Million Resources, Inc.	/s/ Richard Bronson	CEO, Director
0001797667-20-000002	5003910	Degrees Plato LLC	Richard Allen	Co-Owner
0001746059-20-000004	5003899	WORKROOM FEMCIETY INC.	Ahfeeyah Thomas	Owner and Founder
0001716822-20-000003	5003900	70 Million Resources, Inc.	/s/ Richard Bronson	CEO, Director
0001791548-20-000001	5003911	Natural Selection Nutrition, LLC	Alexander Grow	CEO
0001665160-20-000025	5003912	Dapper Boi, Inc.	Victoria Pasche	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001752109-20-000002	5003913	ROOTS & VINE PRODUCE & CAFE, INC	Ena Jones	President /CEO
0001665160-20-000028	5003901	PT Motion Works, Inc.	Bryan Pate	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-20-000006	5003914	Shockwave Motors, Inc.	John McMillian	Principal Executive Officer
0001799343-20-000001	5003915	Go Buddha LLC	Joshua Ingraham	Owner/Chef
0001797667-20-000003	5003902	Degrees Plato LLC	Richard Allen	Co-Owner
0001670254-20-000004	5003903	Brackett Productions LLC	Gary Brackett	CEO
0001670254-20-000006	5003916	Chicks With Class LLC	Margo Jordan-Baines	Founder
0001665160-20-000029	5003924	VLISO, inc.	David Obasiolu	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000030	5003917	GoSun Inc.	Patrick Sherwin	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000031	5003918	Vizrom Inc.	Emmanuel Umoh	CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer
