accession_number	isAmendment	progressUpdate	natureOfAmendment	nameOfIssuer	legalStatusForm	legalStatusOtherDesc	jurisdictionOrganization	dateIncorporation	street1	street2	city	stateOrCountry	zipCode	issuerWebsite	companyName	commissionCik	commissionFileNumber	crdNumber
0001665160-19-001270	0			Geoship SPC	Corporation		WA	2014-01-24 00:00:00.0	12255 Red Dog Rd		Nevada City	CA	95959	geoship.is	StartEngine Capital, LLC	0001665160	007-00007	
0001759332-19-000003	0			Persona Network, Inc.	Corporation		DE	2015-06-25 00:00:00.0	182 HOWARD ST. 119		SAN FRANCISCO	CA	94105	https://www.persona.io	Wunderfund, Inc.	0001707360	007-00116	288924
0001666102-20-000001	0		Extend offering deadline	Social5, LLC	Limited Liability Company		UT	2012-03-02 00:00:00.0	13961 SOUTH MINUTEMAN DRIVE	STE 125	DRAPER	UT	84020	https://social5.com	Mr. Crowd	0001666102	007-00042	284278
0001666102-20-000002	1		Extension of offering deadline, Inclusion of the 2018 Financial Statements, Update of Q24 and Q26 to reflect transactions occurred in 2018, Update of the financial condition of the issuer and discussion on results of operation in 2018, Use of Proceeds	Armored Citizen, LLC.	Limited Liability Company		UT	2017-05-19 00:00:00.0	150 N DRAPER LN		PROVO	UT	84601	https://www.citizenarmor.com	Mr. Crowd	0001666102	007-00042	284278
0001665160-20-000001	1		Issuer is extending the length of their campaign by 60 days.	Boku International Inc	Corporation		DE	2014-09-29 00:00:00.0	987 WEST OJAI AVENUE	987 WEST OJAI AVE.	OJAI	CA	93023	www.bokusuperfood.com	StartEngine Capital, LLC	0001665160	007-00007	
0001793460-20-000001	1		This amendment is to change document_e, to add document_h: ""Amendment And Restated Certificate Of Incorporation"". The new offering deadline is changed to 01/15/20. Adding jurisdictions: Canada (Federal Level), AB, BC, MB, NB, NL, NS, ON, PE, QC, SK, YT	SongVest Records Inc.	Corporation		DE	2019-08-23 00:00:00.0	192 INWOOD AVE.	FLOOR 2	MONTCLAIR	NJ	07043	www.songvestrecords.com	Stampede Securities, Inc	0001726574	007-00142	292379
0001784144-20-000001	0	The Offering closed successfully on December 31, 2019, having received investment commitments of $1,070,000.		Nanno, Inc.	Corporation		DE	2016-05-06 00:00:00.0	1615 CALIFORNIA STREET		DENVER	CO	80202	www.nanno.com	OpenDeal Portal LLC	0001751525	007-00167	283874
0001793460-20-000002	1		This amendment is to change document_e, to add document_h: ""Amendment And Restated Certificate Of Incorporation"". The new offering deadline is changed to 01/15/20. Adding jurisdictions: Canada (Federal Level), AB, BC, MB, NB, NL, NS, ON, PE, QC, SK, YT	SongVest Records Inc.	Corporation		DE	2019-08-23 00:00:00.0	192 INWOOD AVE.	FLOOR 2	MONTCLAIR	NJ	07043	www.songvestrecords.com	Stampede Securities, Inc	0001726574	007-00142	292379
0001784144-20-000002	0	The Offering closed successfully on 12/31/2019, having received investment commitments of $1,070,000.		WeLivv Inc.	Corporation		DE	2016-04-15 00:00:00.0	417 5TH AVENUE		NEW YORK	NY	10016	http://www.welivv.com	OpenDeal Portal LLC	0001751525	007-00167	283874
0001659586-20-000001	0	The Offering closed successfully on 12/31/2019, having received investment commitments of $80,000, although a final accounting has not taken place.		Citiesense Inc.	Corporation		DE	2017-02-10 00:00:00.0	335 MADISON AVENUE		NEW YORK	NY	10017	https://www.citiesense.com	OpenDeal Portal LLC	0001751525	007-00167	283874
0001665160-20-000004	1		Note in default and extension of offering	Divinia Water, INC.	Corporation		ID	2015-10-29 00:00:00.0	149 Chestnut St.		Idaho Falls	ID	83402	www.diviniawater.com	StartEngine Capital, LLC	0001665160	007-00007	
0001782749-20-000001	0	The offering successfully closed on December 31, 2019 with $309,010 raised from 1554 investors. 309,010 Units of SAFE were sold.		Tallyfy, Inc.	Corporation		DE	2014-08-18 00:00:00.0	911 WASHINGTON AVENUE	SUITE 501	ST. LOUIS	MO	63101	https://tallyfy.com/	OpenDeal Portal LLC	0001751525	007-00167	283874
0001780452-20-000001	0		To extend the offering deadline to 6-30-20 and disclose a concurrent Regulation D Offering	Globocoin 1, LLC	Limited Liability Company		DE	2018-02-12 00:00:00.0	8 THE GREEN STREET	STE A	DOVER	DE	19901	www.joinbiticar.com	crowdsourcefunded.com	0001667727	007-00027	
0001665160-20-000007	0			LiquidPiston, Inc.	Corporation		DE	2004-06-21 00:00:00.0	1292a Blue Hills Ave.		Bloomfield	CT	06002	https://liquidpiston.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-000008	1		Issuer is extending the length of their campaign by 60 days.	81-c, Inc.	Corporation		DE	2018-11-20 00:00:00.0	1760 N JOG ROAD, SUITE 150	SUITE 150	WEST PALM BEACH	FL	33411	81-c.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-000009	1		Issuer is extending the length of their campaign by 60 days.	Fisher Wallace Laboratories, Inc.	Corporation		DE	2019-08-23 00:00:00.0	515 MADISON AVENUE		NEW YORK	NY	10022	https://www.fisherwallace.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001777274-20-000001	0			Oracle Health, Inc.	Corporation		FL	2019-05-06 00:00:00.0	910 Woodbridge Ct.		Safety Harbor	FL	34695	https://www.oracle-health.com/	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001665160-20-000010	1		Issuer is extending the length of their campaign by 60 days.	Locking Line Barriers Corp	Corporation		CO	2015-10-10 00:00:00.0	4155 E. JEWELL AVE.	SUITE 610	DENVER	CO	80222	www.WaterBlocks.NET	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-000011	1		Issuer is extending the length of their campaign by 60 days.	WebTez Inc.	Corporation		GA	2012-02-15 00:00:00.0	1673 DONLON ST, SUITE 202		VENTURA	CA	93003	https://www.modvans.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-20-000004	0		issuer extended offering deadline.	Neurotez Inc.	Corporation		DE	2005-10-14 00:00:00.0	991 Highway 22	SUITE 200A	Bridgewater	NJ	08807	www.neurotez.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-20-000013	1		Increased max funding goal and updated financials with independent CPA review.	Tall Idea Labs, Inc.	Corporation		DE	2014-10-03 00:00:00.0	440 N Wolfe Rd		Sunnyvale	CA	94085	www.commerce.ai	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-20-000002	0		issuer extended offering deadline.	StemSation International, Inc	Corporation		FL	2006-07-05 00:00:00.0	7777 Glades Rd	Suite 203	Boca Raton	FL	33434	www.stemsation.global	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001797667-20-000001	0			Degrees Plato LLC	Limited Liability Company		CA	2016-05-09 00:00:00.0	4251 MACARTHUR BOULEVARD		OAKLAND	CA	94619	https://www.degreesplato.com	SMBX, Inc.	0001707214	007-00129	290186
0001666102-20-000003	1		Add perks in Question 13 - give 1 year free membership of Coinseed to all investors in this Offering	Coinseed, Inc.	Corporation		DE	2017-11-22 00:00:00.0	251 LITTLE FALLS DR		WILMINGTON	DE	19808	www.coinseed.co	Mr. Crowd	0001666102	007-00042	284278
0001665160-20-000014	0	The amount raised at the time of closing is $128,110.		Lettuce Networks, Inc.	Corporation		DE	2016-04-18 00:00:00.0	3404 OAK SPRINGS DRIVE		AUSTIN	TX	78702	www.lettuce.fm	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-000015	0	The amount raised at the time of closing is $215,883		Keezel, Inc.	Corporation		DE	2017-04-27 00:00:00.0	20377 SW ACACIA STREET, 2ND FLOOR		NEWPORT BEACH	CA	92660	https://keezel.co	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-000016	1		Issuer is extending the length of their campaign by 60 days.	Eclipse Diagnostics Inc	Corporation		DE	2018-02-05 00:00:00.0	750 N. SAN VICENTE BLVD		LOS ANGELES	CA	90069	www.eclipsedx.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-000018	1		Increased max funding goal and updated financials with independent CPA review.	Phormed Inc	Corporation		NV	2019-05-15 00:00:00.0	9735 Wilshire Blvd., Suite 216		Beverly Hills	CA	90212	www.phormed.com	StartEngine Capital, LLC	0001665160	007-00007	
0001746059-20-000001	0			Kookoonelli, Inc.														
0001791279-20-000001	0	$49,500 raised		Hen Fruit LLC	Limited Liability Company		PA	2019-09-25 00:00:00.0	501 GRANT ST	SUITE 160	PITTSBURGH	PA	15219	www.thespeckledeggpgh.com	Honeycomb Portal LLC	0001705726	007-00119	289015
