accession_number	id	issueJurisdictionSecuritiesOffering
0001665160-19-001270	5235164	AK
0001665160-19-001270	5235163	AL
0001665160-19-001270	5235166	AR
0001665160-19-001270	5235165	AZ
0001665160-19-001270	5235167	CA
0001665160-19-001270	5235168	CO
0001665160-19-001270	5235169	CT
0001665160-19-001270	5235170	DC
0001665160-19-001270	5235171	DE
0001665160-19-001270	5235172	FL
0001665160-19-001270	5235173	GA
0001665160-19-001270	5235174	HI
0001665160-19-001270	5235178	IA
0001665160-19-001270	5235175	ID
0001665160-19-001270	5235176	IL
0001665160-19-001270	5235177	IN
0001665160-19-001270	5235179	KS
0001665160-19-001270	5235180	KY
0001665160-19-001270	5235181	LA
0001665160-19-001270	5235184	MA
0001665160-19-001270	5235183	MD
0001665160-19-001270	5235182	ME
0001665160-19-001270	5235185	MI
0001665160-19-001270	5235186	MN
0001665160-19-001270	5235188	MO
0001665160-19-001270	5235187	MS
0001665160-19-001270	5235189	MT
0001665160-19-001270	5235196	NC
0001665160-19-001270	5235197	ND
0001665160-19-001270	5235190	NE
0001665160-19-001270	5235192	NH
0001665160-19-001270	5235193	NJ
0001665160-19-001270	5235194	NM
0001665160-19-001270	5235191	NV
0001665160-19-001270	5235195	NY
0001665160-19-001270	5235198	OH
0001665160-19-001270	5235199	OK
0001665160-19-001270	5235200	OR
0001665160-19-001270	5235201	PA
0001665160-19-001270	5235202	PR
0001665160-19-001270	5235203	RI
0001665160-19-001270	5235204	SC
0001665160-19-001270	5235205	SD
0001665160-19-001270	5235206	TN
0001665160-19-001270	5235207	TX
0001665160-19-001270	5235208	UT
0001665160-19-001270	5235210	VA
0001665160-19-001270	5235209	VT
0001665160-19-001270	5235211	WA
0001665160-19-001270	5235213	WI
0001665160-19-001270	5235212	WV
0001665160-19-001270	5235214	WY
0001759332-19-000003	5235267	A0
0001759332-19-000003	5235268	A1
0001759332-19-000003	5235269	A2
0001759332-19-000003	5235270	A3
0001759332-19-000003	5235271	A4
0001759332-19-000003	5235272	A5
0001759332-19-000003	5235273	A6
0001759332-19-000003	5235274	A7
0001759332-19-000003	5235275	A8
0001759332-19-000003	5235276	A9
0001759332-19-000003	5235216	AK
0001759332-19-000003	5235215	AL
