accession_number	id	personSignature	personTitle	signatureDate
0001665160-19-001270	5010246	Morgan Bierschenk	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer of Geoship SPC	2019-12-31 00:00:00.0
0001759332-19-000003	5010228	Colby Schaeffer	CFO	2019-12-31 00:00:00.0
0001759332-19-000003	5010229	Matthew P Kerle	CEO	2019-12-31 00:00:00.0
0001759332-19-000003	5010230	Patrick Holler	COO	2019-12-31 00:00:00.0
0001666102-20-000001	5010231	Judson Smedley	Chief Financial Officer	2020-01-02 00:00:00.0
0001666102-20-000002	5010247	Aaron K Gilbert	President & CEO	2020-01-02 00:00:00.0
0001665160-20-000001	5010248	Lynn Rolle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-02 00:00:00.0
0001793460-20-000001	5010232	Sean Peace	CEO	2020-01-02 00:00:00.0
0001784144-20-000001	5010249	Elisabeth P. Oertle	CEO/Co-Founder	2020-01-02 00:00:00.0
0001784144-20-000001	5010250	Desi McAdam	CTO/COO/Co-Founder	2020-01-02 00:00:00.0
0001793460-20-000002	5010233	Sean Peace	CEO	2020-01-02 00:00:00.0
0001784144-20-000002	5010251	Andrew Christodoulides	Chief Executive Officer	2020-01-02 00:00:00.0
0001784144-20-000002	5010252	George Varvatsoulis	Director	2020-01-02 00:00:00.0
0001659586-20-000001	5010253	Starling Childs	Chief Executive Officer, Director	2020-01-02 00:00:00.0
0001665160-20-000004	5010254	Steven R Sedlmayr	CEO, Principal Executive Officer and Director and Principal Financial Officer	2020-01-02 00:00:00.0
0001665160-20-000004	5010255	Remy J Sedlmayr	Principal Accounting Officer	2020-01-02 00:00:00.0
0001782749-20-000001	5010277	/s/Amit Kothari	Director, CEO, President, Secretary	2020-01-02 00:00:00.0
0001782749-20-000001	5010278	/s/Pravina Pindoria	Director, Chief Operating Officer	2020-01-02 00:00:00.0
0001780452-20-000001	5010256	Tobias Maldonado	Owner	2020-01-02 00:00:00.0
0001665160-20-000007	5010274	Alexander Shkolnik	President and CEO, Principal Executive Officer, Principal Financial Officer,  Principal Accounting Officer, and Director	2020-01-02 00:00:00.0
0001665160-20-000007	5010275	Per Suneby	Director, SVP - Corporate Development.	2020-01-02 00:00:00.0
0001665160-20-000007	5010276	Nikolay Shkolnik	CTO, Director	2020-01-02 00:00:00.0
0001665160-20-000008	5010257	Dan Abbate	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-03 00:00:00.0
0001665160-20-000009	5010258	Kelly Roman	CEO, Principal Executive Officer and Director	2020-01-03 00:00:00.0
0001665160-20-000009	5010259	Charles Fisher	Principal Financial Officer, Principal Accounting Officer and Director	2020-01-03 00:00:00.0
0001777274-20-000001	5010260	Jaeson Bang	CEO, Founder	2020-01-03 00:00:00.0
0001665160-20-000010	5010279	Joseph Daniluk	CEO, Principal Executive Officer and Director, Principal Financial Officer, Secretary, and Principal Accounting Officer	2020-01-06 00:00:00.0
0001665160-20-000011	5010280	Peter J. Tezza II	CEO, Principal Executive Officer and Director	2020-01-06 00:00:00.0
0001665160-20-000011	5010281	Laura L. Tezza	Director of Operations, Principle Financial Officer and Director and Principal Accounting Officer	2020-01-06 00:00:00.0
0001669191-20-000004	5010283	Nikolaos Tezapsidis	Principal Executive Officer	2020-01-06 00:00:00.0
0001669191-20-000004	5010284	James Harris	Principal Financial Officer	2020-01-06 00:00:00.0
0001669191-20-000004	5010285	James Harris	Principal Accounting Officer	2020-01-06 00:00:00.0
0001669191-20-000004	5010286	Nikolaos Tezapsidis	Board Member	2020-01-06 00:00:00.0
0001669191-20-000004	5010287	James Harris	Board Member	2020-01-06 00:00:00.0
0001669191-20-000004	5010288	Bob Oliver	Board Member	2020-01-06 00:00:00.0
0001669191-20-000004	5010289	Thomas Humphries	Board Member	2020-01-06 00:00:00.0
0001669191-20-000004	5010290	George Perry	Board Member	2020-01-06 00:00:00.0
0001665160-20-000013	5010282	Andy Pandharikar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-06 00:00:00.0
0001669191-20-000002	5010261	Ray C.  Carter, Jr.	Principal Executive Officer	2020-01-06 00:00:00.0
0001797667-20-000001	5010291	Richard Allen	Co-Owner	2020-01-07 00:00:00.0
0001666102-20-000003	5010262	Sukhbat Lkhagvadorj	Founder, CFO	2020-01-07 00:00:00.0
0001665160-20-000014	5010263	Yogesh Sharma	CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2020-01-07 00:00:00.0
0001665160-20-000015	5010264	Friso Schmid	CFO, Principal Financial Officer and Principal Accounting Officer	2020-01-07 00:00:00.0
0001665160-20-000015	5010265	Aike Muller	CEO, Principal Executive Officer, President and Director	2020-01-07 00:00:00.0
0001665160-20-000016	5010292	Luka Fajs	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-07 00:00:00.0
0001665160-20-000016	5010293	Robert S Marks	Director and Secretary	2020-01-07 00:00:00.0
0001665160-20-000018	5010294	McCoy Moretz	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-07 00:00:00.0
