accession_number	submission_type	filing_date	cik	file_number	period
0001665160-19-001270	C	2020-01-02 00:00:00.0	0001626196	020-25992                	
0001659586-20-000001	C-U	2020-01-02 00:00:00.0	0001659586	020-25465                	
0001665160-20-000004	C/A	2020-01-02 00:00:00.0	0001688029	020-24549                	
0001666102-20-000002	C/A	2020-01-02 00:00:00.0	0001741462	020-24373                	
0001665160-20-000001	C/A	2020-01-02 00:00:00.0	0001755391	020-24880                	
0001666102-20-000001	C/A	2020-01-02 00:00:00.0	0001758447	020-24978                	
0001759332-19-000003	C	2020-01-02 00:00:00.0	0001759332	020-25994                	
0001784144-20-000002	C-U	2020-01-02 00:00:00.0	0001782075	020-25483                	
0001784144-20-000001	C-U	2020-01-02 00:00:00.0	0001784144	020-25555                	
0001793460-20-000001	C/A	2020-01-02 00:00:00.0	0001793460	020-25929                	
0001793460-20-000002	C/A	2020-01-02 00:00:00.0	0001793460	020-25929                	
0001665160-20-000007	C	2020-01-03 00:00:00.0	0001446275	020-25997                	
0001665160-20-000008	C/A	2020-01-03 00:00:00.0	0001769670	020-25228                	
0001777274-20-000001	C	2020-01-03 00:00:00.0	0001777274	020-25998                	
0001780452-20-000001	C/A	2020-01-03 00:00:00.0	0001780452	020-25455                	
0001782749-20-000001	C-U	2020-01-03 00:00:00.0	0001782749	020-25634                	
0001665160-20-000009	C/A	2020-01-03 00:00:00.0	0001787792	020-25712                	
0001665160-20-000010	C/A	2020-01-06 00:00:00.0	0001736664	020-24293                	
0001665160-20-000011	C/A	2020-01-06 00:00:00.0	0001759058	020-24909                	
0001669191-20-000002	C/A	2020-01-07 00:00:00.0	0001398488	020-25838                	
0001665160-20-000015	C-U	2020-01-07 00:00:00.0	0001713288	020-25033                	
0001665160-20-000013	C/A	2020-01-07 00:00:00.0	0001716174	020-25963                	
0001665160-20-000014	C-U	2020-01-07 00:00:00.0	0001718839	020-25056                	
0001669191-20-000004	C/A	2020-01-07 00:00:00.0	0001725567	020-25572                	
0001665160-20-000016	C/A	2020-01-07 00:00:00.0	0001733206	020-24048                	
0001666102-20-000003	C/A	2020-01-07 00:00:00.0	0001760049	020-25924                	
0001791279-20-000003	C-U	2020-01-07 00:00:00.0	0001781304	020-25695                	
0001791279-20-000001	C-U	2020-01-07 00:00:00.0	0001791279	020-25755                	
0001746059-20-000002	C/A	2020-01-07 00:00:00.0	0001791522	020-25778                	
0001746059-20-000001	C-W	2020-01-07 00:00:00.0	0001792147	020-25791                	
0001791279-20-000002	C-U	2020-01-07 00:00:00.0	0001792353	020-25793                	
0001746059-20-000003	C/A	2020-01-07 00:00:00.0	0001792922	020-25824                	
0001665160-20-000018	C/A	2020-01-07 00:00:00.0	0001796036	020-25914                	
0001797667-20-000001	C	2020-01-07 00:00:00.0	0001797667	020-25999                	
0001716822-20-000001	C	2020-01-08 00:00:00.0	0001716822	020-26002                	
0001716822-20-000003	C/A	2020-01-08 00:00:00.0	0001716822	020-26002                	
0001766521-20-000001	C-TR	2020-01-08 00:00:00.0	0001766521	020-25214                	
0001783004-20-000001	C/A	2020-01-08 00:00:00.0	0001783004	020-25792                	
0001746059-20-000004	C/A	2020-01-08 00:00:00.0	0001791340	020-25856                	
0001665160-20-000020	C	2020-01-08 00:00:00.0	0001797421	020-26001                	
0001665160-20-000023	C/A	2020-01-08 00:00:00.0	0001797421	020-26001                	
0001797667-20-000002	C/A	2020-01-08 00:00:00.0	0001797667	020-25999                	
0001752109-20-000002	C/A	2020-01-09 00:00:00.0	0001752109	020-24666                	
0001665160-20-000025	C/A	2020-01-09 00:00:00.0	0001782117	020-25720                	
0001791548-20-000001	C	2020-01-09 00:00:00.0	0001791548	020-26003                	
0001665160-20-000028	C	2020-01-10 00:00:00.0	0001478263	020-26008                	
0001665160-20-000030	C/A	2020-01-10 00:00:00.0	0001706024	020-25739                	
0001665160-20-000031	C-U	2020-01-10 00:00:00.0	0001755045	020-24810                	
0001665160-20-000029	C/A	2020-01-10 00:00:00.0	0001784430	020-25725                	
0001670254-20-000004	C	2020-01-10 00:00:00.0	0001792872	020-26009                	
0001670254-20-000006	C	2020-01-10 00:00:00.0	0001793458	020-26010                	
0001669191-20-000006	C	2020-01-10 00:00:00.0	0001793576	020-26005                	
0001797667-20-000003	C/A	2020-01-10 00:00:00.0	0001797667	020-25999                	
0001799343-20-000001	C	2020-01-10 00:00:00.0	0001799343	020-26006                	
0001665160-20-000033	C	2020-01-10 00:00:00.0	0001799489	020-26012                	
0001715013-20-000001	C-TR	2020-01-13 00:00:00.0	0001715013	020-23580                	
0001716822-20-000004	C/A	2020-01-13 00:00:00.0	0001716822	020-26002                	
0001732447-20-000001	C-TR	2020-01-13 00:00:00.0	0001732447	020-24053                	
0001765975-20-000001	C/A	2020-01-13 00:00:00.0	0001765975	020-25979                	
0001765975-20-000002	C/A	2020-01-13 00:00:00.0	0001765975	020-25979                	
0001665160-20-000035	C/A	2020-01-13 00:00:00.0	0001768911	020-25444                	
0001665160-20-000034	C/A	2020-01-13 00:00:00.0	0001785581	020-25741                	
0001790166-20-000001	C	2020-01-13 00:00:00.0	0001790166	020-26013                	
0001669191-20-000012	C/A	2020-01-14 00:00:00.0	0001725567	020-25572                	
0001793344-20-000008	C	2020-01-14 00:00:00.0	0001726537	020-26015                	
0001669191-20-000010	C/A	2020-01-14 00:00:00.0	0001743261	020-25769                	
0001775091-20-000001	C/A	2020-01-14 00:00:00.0	0001775091	020-25358                	
0001669191-20-000008	C/A	2020-01-14 00:00:00.0	0001781955	020-25530                	
0001787023-20-000001	C/A	2020-01-14 00:00:00.0	0001787023	020-25624                	
0001793344-20-000007	C	2020-01-14 00:00:00.0	0001793344	020-26014                	
0001797650-20-000001	C/A	2020-01-14 00:00:00.0	0001797650	020-25984                	
0001746059-20-000005	C	2020-01-14 00:00:00.0	0001799107	020-26016                	
0001746059-20-000006	C	2020-01-14 00:00:00.0	0001799483	020-26017                	
0001706937-20-000005	C-AR	2020-01-14 00:00:00.0	0001706937	020-23431                	12-31-2018                    
0001706937-20-000009	C	2020-01-15 00:00:00.0	0001706937	020-26018                	
0001665160-20-000038	C/A	2020-01-15 00:00:00.0	0001720044	020-25737                	
0001665160-20-000040	C/A	2020-01-15 00:00:00.0	0001720258	020-25478                	
0001665160-20-000041	C/A	2020-01-15 00:00:00.0	0001720258	020-25478                	
0001706937-20-000006	C/A	2020-01-15 00:00:00.0	0001724320	020-25891                	
