ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001820003-20-000004	1	Frederic Richardson	Chairman President	2020-09-30
0001665160-20-001227	1	Ashi Jelinek	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-09-30
0001826174-20-000002	1	/s/ Susmita Biswas	Chief Financial Officer	2020-09-30
0001669191-20-000558	2	Juan  Young	Principal Financial Officer	2020-09-30
0001669191-20-000558	3	Juan  Young	Principal Accounting Officer	2020-09-30
0001669191-20-000558	4	Juan  Young	Board Member	2020-09-30
0001669191-20-000558	1	Juan  Young	Principal Executive Officer	2020-09-30
0001669191-20-000556	2	Archil Cheishvili	Board Member	2020-09-30
0001669191-20-000556	1	Archil Cheishvili	Principal Executive Officer	2020-09-30
0001815319-20-000002	3	Jonas Herd	Chief Development Officer	2020-09-30
0001815319-20-000002	2	Jeremy Dax McAnear	Chief Culinary Officer	2020-09-30
0001815319-20-000002	1	Kevin Floyd	CEO and President	2020-09-30
0001665160-20-001226	1	Chander Arora	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-09-30
0001665160-20-001225	1	Laura Boccanfuso	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-09-30
0001665160-20-001223	1	Chander Arora	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-09-30
0001665160-20-001221	2	Vincent Poudras	Co-CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-09-30
0001665160-20-001221	1	Nicolas Billaud	Co-CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-09-30
0001665160-20-001217	1	Brett Jacobson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-09-30
0001795615-20-000004	1	Tariq Khan by Sean Fuellhart POA	CEO	2020-09-30
0001669191-20-000554	2	Don Bielak	Board Member	2020-09-30
0001669191-20-000554	1	Don Bielak	Principal Executive Officer	2020-09-30
0001788657-20-000003	1	Eric H. Darst	CEO	2020-09-30
0001826438-20-000002	2	James Cole	CMO, Director	2020-09-30
0001826438-20-000002	1	/s/ Shannon Bray	CEO	2020-09-30
0001826308-20-000002	1	Benton Crane	Executive Director	2020-09-30
0001826308-20-000002	2	Daniel Harmon	President and Director	2020-09-30
0001826308-20-000002	3	Jonathon Vance	CMO	2020-09-30
0001670254-20-000886	4	Michael D'Orazio	Co-Founder | Chief Operating Officer | CFO	2020-09-28
0001670254-20-000886	3	Michael D'Orazio	Co-Founder | Chief Operating Officer | CFO	2020-09-29
0001670254-20-000886	1	Jonathan C. Rayos	CEO | Founder | Chairman of Board	2020-09-29
0001670254-20-000886	2	Sandra Anderson	Board member	2020-09-29
0001665160-20-001213	1	Adrian Solgaard	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-09-29
