,CIK,FILING_DATE,SUBMISSION_TYPE,OFFERINGAMOUNT,PROGRESSUPDATE,NATUREOFAMENDMENT,MAXIMUMOFFERINGAMOUNT,CURRENTEMPLOYEES,TOTALASSETMOSTRECENTFISCALYEAR,TOTALASSETPRIORFISCALYEAR,CASHEQUIMOSTRECENTFISCALYEAR,CASHEQUIPRIORFISCALYEAR,ACTRECEIVEDRECENTFISCALYEAR,ACTRECEIVEDPRIORFISCALYEAR,SHORTTERMDEBTMRECENTFISCALYEAR,SHORTTERMDEBTPRIORFISCALYEAR,LONGTERMDEBTRECENTFISCALYEAR,LONGTERMDEBTPRIORFISCALYEAR,NETINCOMEMOSTRECENTFISCALYEAR,NETINCOMEPRIORFISCALYEAR,Form_C_Number,Funding_Success
0,1674180,2016-05-16,C,275000.0,,,500000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,1674082,2016-05-16,C,400000.0,,,1000000.0,3.0,230909.0,441532.0,193376.0,432140.0,-1097.0,0.0,589120.0,569251.0,230909.0,441532.0,-298573.0,-361237.0,1,1
2,1674632,2016-05-16,C,50000.0,,,1000000.0,10.0,5015954.0,0.0,1250.0,0.0,0.0,0.0,267070.0,0.0,0.0,0.0,-230547.0,0.0,1,1
3,1674207,2016-05-16,C,250000.0,,,1000000.0,3.0,10170.0,7321.0,10170.0,7321.0,0.0,0.0,0.0,0.0,0.0,0.0,-36772.0,-2250.0,1,1
4,1674163,2016-05-16,C,500000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1060,1674163,2017-07-24,C,1000.0,,,70000.0,5.0,694289.0,0.0,638309.0,0.0,1000.0,0.0,108455.0,0.0,0.0,0.0,-1272622.0,0.0,2,1
2624,1674163,2018-05-11,C,99840.0,,,901888.0,5.0,1153234.0,694289.0,58131.0,1000.0,0.0,0.0,79397.0,108455.0,0.0,0.0,-1922699.0,-1079379.0,3,1
10,1674521,2016-05-16,C,100000.0,,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,1674376,2016-05-16,C,100000.0,,,1000000.0,0.0,54008.0,54129.0,2156.0,4414.0,5180.0,0.0,0.0,0.0,87504.0,74269.0,43556.0,87834.0,1,0
7,1674439,2016-05-16,C,80000.0,,,100000.0,2.0,35873.0,0.0,27303.0,0.0,0.0,0.0,10202.0,0.0,63799.0,0.0,-48127.0,0.0,1,0
