Funding_Success,OFFERINGAMOUNT,MAXIMUMOFFERINGAMOUNT,CURRENTEMPLOYEES,TOTALASSETMOSTRECENTFISCALYEAR,TOTALASSETPRIORFISCALYEAR,CASHEQUIMOSTRECENTFISCALYEAR,CASHEQUIPRIORFISCALYEAR,ACTRECEIVEDRECENTFISCALYEAR,ACTRECEIVEDPRIORFISCALYEAR,SHORTTERMDEBTMRECENTFISCALYEAR,SHORTTERMDEBTPRIORFISCALYEAR,LONGTERMDEBTRECENTFISCALYEAR,LONGTERMDEBTPRIORFISCALYEAR,NETINCOMEMOSTRECENTFISCALYEAR,NETINCOMEPRIORFISCALYEAR,Form_C_Number
1,275000.0,500000.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,400000.0,1000000.0,3,230909.0,441532.0,193376.0,432140.0,-1097.0,0.0,589120.0,569251.0,230909.0,441532.0,-298573.0,-361237.0,1
1,50000.0,1000000.0,10,5015954.0,0.0,1250.0,0.0,0.0,0.0,267070.0,0.0,0.0,0.0,-230547.0,0.0,1
1,250000.0,1000000.0,3,10170.0,7321.0,10170.0,7321.0,0.0,0.0,0.0,0.0,0.0,0.0,-36772.0,-2250.0,1
1,500000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,99840.0,901888.0,5,1153234.0,694289.0,58131.0,1000.0,0.0,0.0,79397.0,108455.0,0.0,0.0,-1922699.0,-1079379.0,3
0,100000.0,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,1000000.0,0,54008.0,54129.0,2156.0,4414.0,5180.0,0.0,0.0,0.0,87504.0,74269.0,43556.0,87834.0,1
0,80000.0,100000.0,2,35873.0,0.0,27303.0,0.0,0.0,0.0,10202.0,0.0,63799.0,0.0,-48127.0,0.0,1
1,20000.0,100000.0,2,12461.0,35873.0,3877.0,27303.0,0.0,0.0,0.0,0.0,92150.0,63799.0,-102832.0,-48127.0,2
1,22400.0,999880.0,6,26753.0,0.0,2170.0,0.0,0.0,0.0,10041.0,0.0,0.0,0.0,-8288.0,0.0,1
0,200000.0,1000000.0,0,88815.0,0.0,12166.0,0.0,11250.0,0.0,10356.0,0.0,32222.0,0.0,-4763.0,0.0,1
0,300000.0,996000.0,0,738636.0,799612.0,6697.0,2432.0,23876.0,24193.0,148073.0,148170.0,464128.0,485244.0,381628.0,326093.0,1
1,70000.0,1000000.0,0,738636.0,799612.0,6697.0,2432.0,23876.0,24193.0,148073.0,148170.0,464128.0,485224.0,-381628.0,-326093.0,2
0,60000.0,100000.0,5,105693.0,11664.0,22497.07,1686.11,0.0,0.0,10118.0,2173.0,0.0,0.0,-12796.0,3716.0,1
0,300000.0,1000000.0,8,161623.0,73417.0,5993.0,4900.0,0.0,0.0,35611.0,34585.0,670062.0,280643.0,-459638.0,-290958.0,1
1,25000.0,100000.0,1,4551918.97,3651353.81,-3286.0,1838.28,375.0,-850.0,15211.2,-91.34,3496391.37,2735860.03,124522.43,-33698.97,1
0,50000.0,1000000.0,3,1255.0,0.0,1255.0,0.0,0.0,0.0,0.0,0.0,1255.0,0.0,18745.0,0.0,1
1,50000.0,500000.0,3,1255.0,0.0,1255.0,0.0,0.0,0.0,0.0,0.0,1255.0,0.0,-18745.0,0.0,2
1,50000.0,100000.0,2,43882.04,48920.1,3007.970000000001,30688.28,0.0,0.0,36260.13,28237.35,94434.51,78342.73,-29152.62,20089.15,1
0,50000.0,100000.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,50000.0,100000.0,12,583711.0,246008.0,383616.0,107231.0,116862.0,57087.0,0.0,0.0,1099957.0,799957.0,-72133.0,-9560.0,1
0,99999.9,999999.0,3,87772.0,0.0,86424.0,0.0,0.0,0.0,341326.0,0.0,0.0,0.0,-253544.0,0.0,1
1,50000.0,100000.0,2,138159.0,48801.0,1534.0,1512.0,0.0,0.0,58778.0,64570.0,226418.0,0.0,-144819.0,-51274.0,1
0,50000.0,100000.0,6,843125.0,0.0,70337.0,0.0,0.0,0.0,70000.0,0.0,175000.0,0.0,-174663.0,0.0,1
0,50000.0,100000.0,5,129599.0,82367.0,9997.0,27942.0,22702.0,10330.0,51400.0,17263.0,252063.0,163560.0,-94908.0,-68563.0,1
0,50000.0,1000000.0,5,37516.0,48983.0,0.0,255.0,0.0,0.0,26813.0,32416.0,0.0,0.0,0.0,0.0,1
1,20000.0,100000.0,6,127803.0,0.0,0.0,0.0,0.0,0.0,127562.0,0.0,7065.0,0.0,129663.0,0.0,2
1,20000.0,100000.0,3,127803.0,0.0,0.0,0.0,0.0,0.0,127562.0,0.0,7065.0,0.0,-129663.0,0.0,1
1,100000.0,1000000.0,7,1228213.0,965104.0,200802.0,100811.0,67538.0,97723.0,938684.0,778223.0,316426.0,344994.0,-85411.0,-577998.0,2
1,50000.0,100000.0,8,559684.0,0.0,392970.0,0.0,1401.0,0.0,231.0,0.0,559684.0,0.0,-57247.0,0.0,1
0,50000.0,388000.0,5,37516.0,48983.0,0.0,255.0,0.0,0.0,26813.0,32416.0,0.0,0.0,-5864.0,-1136818.0,2
0,25000.0,100000.0,4,342658.0,446980.0,105271.0,213039.0,0.0,0.0,58872.0,79205.0,577657.0,491548.0,-184589.0,-214102.0,1
1,25000.0,100000.0,4,342658.0,446980.0,105271.0,213039.0,0.0,0.0,58872.0,79205.0,577657.0,491548.0,-184589.0,-214102.0,2
1,50000.0,1000000.0,4,335856.0,0.0,132659.0,0.0,0.0,0.0,11597.0,0.0,0.0,0.0,-111841.0,0.0,1
0,50000.0,300000.0,4,335856.0,0.0,132659.0,0.0,0.0,0.0,11597.0,0.0,0.0,0.0,-111841.0,0.0,2
1,50000.0,230000.0,5,545040.0,276115.0,37737.0,132659.0,0.0,0.0,66943.0,11597.0,119118.0,0.0,-287317.0,-111841.0,3
0,50000.0,400000.0,6,1288685.0,614554.0,39482.0,37737.0,2572.0,0.0,156598.0,66843.0,782202.0,119118.0,-374640.0,-287317.0,4
